period,mode,pc_value,start_date,end_date
1995-01-01,0,-49.39842,1995-01-01,
1995-02-01,0,-49.52404,1995-01-01,
1995-03-01,0,-49.69719,1995-01-01,
1995-04-01,0,-49.73867,1995-01-01,
1995-05-01,0,-49.74098,1995-01-01,
1995-06-01,0,-49.71934,1995-01-01,
1995-07-01,0,-49.72666,1995-01-01,
1995-08-01,0,-49.59103,1995-01-01,
1995-09-01,0,-49.44385,1995-01-01,
1995-10-01,0,-49.38162,1995-01-01,
1995-11-01,0,-49.36292,1995-01-01,
1995-12-01,0,-49.36403,1995-01-01,
1996-01-01,0,-49.18615,1995-01-01,
1996-02-01,0,-49.11116,1995-01-01,
1996-03-01,0,-49.02852,1995-01-01,
1996-04-01,0,-48.96793,1995-01-01,
1996-05-01,0,-48.98494,1995-01-01,
1996-06-01,0,-49.06431,1995-01-01,
1996-07-01,0,-48.99271,1995-01-01,
1996-08-01,0,-48.81134,1995-01-01,
1996-09-01,0,-48.79871,1995-01-01,
1996-10-01,0,-48.6637,1995-01-01,
1996-11-01,0,-48.48829,1995-01-01,
1996-12-01,0,-48.27013,1995-01-01,
1997-01-01,0,-48.07703,1995-01-01,
1997-02-01,0,-47.83412,1995-01-01,
1997-03-01,0,-47.66576,1995-01-01,
1997-04-01,0,-47.48446,1995-01-01,
1997-05-01,0,-47.272,1995-01-01,
1997-06-01,0,-47.02556,1995-01-01,
1997-07-01,0,-46.66555,1995-01-01,
1997-08-01,0,-46.45061,1995-01-01,
1997-09-01,0,-46.24033,1995-01-01,
1997-10-01,0,-45.88334,1995-01-01,
1997-11-01,0,-45.64899,1995-01-01,
1997-12-01,0,-45.57151,1995-01-01,
1998-01-01,0,-45.45771,1995-01-01,
1998-02-01,0,-45.2651,1995-01-01,
1998-03-01,0,-45.05669,1995-01-01,
1998-04-01,0,-44.98873,1995-01-01,
1998-05-01,0,-44.81212,1995-01-01,
1998-06-01,0,-44.79375,1995-01-01,
1998-07-01,0,-44.7605,1995-01-01,
1998-08-01,0,-44.61401,1995-01-01,
1998-09-01,0,-44.28833,1995-01-01,
1998-10-01,0,-43.94215,1995-01-01,
1998-11-01,0,-43.55266,1995-01-01,
1998-12-01,0,-43.32438,1995-01-01,
1999-01-01,0,-43.11066,1995-01-01,
1999-02-01,0,-42.84365,1995-01-01,
1999-03-01,0,-42.56676,1995-01-01,
1999-04-01,0,-42.34443,1995-01-01,
1999-05-01,0,-41.94177,1995-01-01,
1999-06-01,0,-41.63458,1995-01-01,
1999-07-01,0,-41.25671,1995-01-01,
1999-08-01,0,-40.79336,1995-01-01,
1999-09-01,0,-40.29778,1995-01-01,
1999-10-01,0,-39.76423,1995-01-01,
1999-11-01,0,-39.37365,1995-01-01,
1999-12-01,0,-39.2085,1995-01-01,
2000-01-01,0,-38.81789,1995-01-01,
2000-02-01,0,-38.37302,1995-01-01,
2000-03-01,0,-37.95819,1995-01-01,
2000-04-01,0,-37.76877,1995-01-01,
2000-05-01,0,-37.8406,1995-01-01,
2000-06-01,0,-37.75327,1995-01-01,
2000-07-01,0,-37.50888,1995-01-01,
2000-08-01,0,-37.31459,1995-01-01,
2000-09-01,0,-37.08767,1995-01-01,
2000-10-01,0,-36.70511,1995-01-01,
2000-11-01,0,-36.28007,1995-01-01,
2000-12-01,0,-35.91906,1995-01-01,
2001-01-01,0,-35.43474,1995-01-01,
2001-02-01,0,-34.99215,1995-01-01,
2001-03-01,0,-34.60504,1995-01-01,
