sa2_name,mode,loading_value,start_date,end_date
ABBOTSFORD,0,0.9769,1998-04-01,2024-01-01
ABBOTSFORD,1,-0.12505,1998-04-01,2024-01-01
ABBOTSFORD,2,-0.15831,1998-04-01,2024-01-01
ABBOTSFORD,3,0.0059,1998-04-01,2024-01-01
ABBOTSFORD,4,0.00569,1998-04-01,2024-01-01
ABBOTSFORD,5,-0.061,1998-04-01,2024-01-01
ABBOTSFORD,6,0.01748,1998-04-01,2024-01-01
ABBOTSFORD,7,-0.00026,1998-04-01,2024-01-01
ABBOTSFORD,8,0.00055,1998-04-01,2024-01-01
ABBOTSFORD,9,-0.00379,1998-04-01,2024-01-01
ABBOTSFORD,10,0.00811,1998-04-01,2024-01-01
ABBOTSFORD,11,-0.00194,1998-04-01,2024-01-01
ABBOTSFORD,12,-0.015,1998-04-01,2024-01-01
ABBOTSFORD,13,0.00069,1998-04-01,2024-01-01
ABBOTSFORD,14,-0.01101,1998-04-01,2024-01-01
ABBOTSFORD,15,0.01003,1998-04-01,2024-01-01
ABBOTSFORD,16,-0.00247,1998-04-01,2024-01-01
ABBOTSFORD,17,0.00301,1998-04-01,2024-01-01
ABBOTSFORD,18,-0.00747,1998-04-01,2024-01-01
ABBOTSFORD,19,0.00029,1998-04-01,2024-01-01
ABBOTSFORD,20,-0.00181,1998-04-01,2024-01-01
ABERFOYLE PARK,0,0.99379,1998-04-01,2024-01-01
ABERFOYLE PARK,1,0.06909,1998-04-01,2024-01-01
ABERFOYLE PARK,2,0.04035,1998-04-01,2024-01-01
ABERFOYLE PARK,3,-0.0001,1998-04-01,2024-01-01
ABERFOYLE PARK,4,-0.01456,1998-04-01,2024-01-01
ABERFOYLE PARK,5,0.01138,1998-04-01,2024-01-01
ABERFOYLE PARK,6,0.04732,1998-04-01,2024-01-01
ABERFOYLE PARK,7,-0.04611,1998-04-01,2024-01-01
ABERFOYLE PARK,8,-0.02467,1998-04-01,2024-01-01
ABERFOYLE PARK,9,-0.01125,1998-04-01,2024-01-01
ABERFOYLE PARK,10,0.00322,1998-04-01,2024-01-01
ABERFOYLE PARK,11,0.00201,1998-04-01,2024-01-01
ABERFOYLE PARK,12,0.01371,1998-04-01,2024-01-01
ABERFOYLE PARK,13,0.00355,1998-04-01,2024-01-01
ABERFOYLE PARK,14,0.00252,1998-04-01,2024-01-01
ABERFOYLE PARK,15,-0.0001,1998-04-01,2024-01-01
ABERFOYLE PARK,16,0.00126,1998-04-01,2024-01-01
ABERFOYLE PARK,17,0.00011,1998-04-01,2024-01-01
ABERFOYLE PARK,18,-0.00688,1998-04-01,2024-01-01
ABERFOYLE PARK,19,0.0002,1998-04-01,2024-01-01
ABERFOYLE PARK,20,-0.0001,1998-04-01,2024-01-01
ACACIA GARDENS,0,0.97309,1998-04-01,2024-01-01
ACACIA GARDENS,1,-0.20054,1998-04-01,2024-01-01
ACACIA GARDENS,2,-0.02983,1998-04-01,2024-01-01
ACACIA GARDENS,3,-0.08075,1998-04-01,2024-01-01
ACACIA GARDENS,4,0.03727,1998-04-01,2024-01-01
ACACIA GARDENS,5,0.04848,1998-04-01,2024-01-01
ACACIA GARDENS,6,0.00257,1998-04-01,2024-01-01
ACACIA GARDENS,7,0.00694,1998-04-01,2024-01-01
ACACIA GARDENS,8,-0.02402,1998-04-01,2024-01-01
ACACIA GARDENS,9,0.00693,1998-04-01,2024-01-01
ACACIA GARDENS,10,0.01899,1998-04-01,2024-01-01
ACACIA GARDENS,11,-0.00111,1998-04-01,2024-01-01
ACACIA GARDENS,12,0.00237,1998-04-01,2024-01-01
ACACIA GARDENS,13,0.0037,1998-04-01,2024-01-01
ACACIA GARDENS,14,0.00998,1998-04-01,2024-01-01
ACACIA GARDENS,15,-0.00405,1998-04-01,2024-01-01
ACACIA GARDENS,16,0.00553,1998-04-01,2024-01-01
ACACIA GARDENS,17,0.00728,1998-04-01,2024-01-01
ACACIA GARDENS,18,0.00176,1998-04-01,2024-01-01
ACACIA GARDENS,19,0.00879,1998-04-01,2024-01-01
ACACIA GARDENS,20,0.00783,1998-04-01,2024-01-01
ACT - SOUTH WEST,0,0.99499,1998-04-01,2024-01-01
ACT - SOUTH WEST,1,-0.07735,1998-04-01,2024-01-01
ACT - SOUTH WEST,2,-0.029,1998-04-01,2024-01-01
ACT - SOUTH WEST,3,-0.01146,1998-04-01,2024-01-01
ACT - SOUTH WEST,4,-0.0408,1998-04-01,2024-01-01
ACT - SOUTH WEST,5,0.01676,1998-04-01,2024-01-01
ACT - SOUTH WEST,6,0.00701,1998-04-01,2024-01-01
ACT - SOUTH WEST,7,0.00844,1998-04-01,2024-01-01
ACT - SOUTH WEST,8,0.01685,1998-04-01,2024-01-01
ACT - SOUTH WEST,9,-0.00045,1998-04-01,2024-01-01
ACT - SOUTH WEST,10,-0.00105,1998-04-01,2024-01-01
ACT - SOUTH WEST,11,-0.00943,1998-04-01,2024-01-01
ACT - SOUTH WEST,12,-0.00382,1998-04-01,2024-01-01
ACT - SOUTH WEST,13,-0.00094,1998-04-01,2024-01-01
ACT - SOUTH WEST,14,-0.02,1998-04-01,2024-01-01
ACT - SOUTH WEST,15,-0.00465,1998-04-01,2024-01-01
ACT - SOUTH WEST,16,0.00258,1998-04-01,2024-01-01
ACT - SOUTH WEST,17,0.00102,1998-04-01,2024-01-01
ACT - SOUTH WEST,18,0.00148,1998-04-01,2024-01-01
ACT - SOUTH WEST,19,0.00355,1998-04-01,2024-01-01
ACT - SOUTH WEST,20,0.00409,1998-04-01,2024-01-01
