window_end,horizon,actual_log,forecast_log,error,model
2014-01-01,1,0.29932752,0.29922704,-0.00010048,current
2014-01-01,3,0.30950206,0.31427146,0.00476940,current
2014-01-01,6,0.31573019,0.33899791,0.02326772,current
2014-01-01,12,0.34354346,0.39269387,0.04915041,current
2014-01-01,24,0.38850514,0.51766678,0.12916164,current
2014-02-01,1,0.30434032,0.30675567,0.00241535,current
2014-02-01,3,0.31264834,0.32259435,0.00994600,current
2014-02-01,6,0.32008523,0.34810118,0.02801595,current
2014-02-01,12,0.34944268,0.40280225,0.05335957,current
2014-02-01,24,0.38671824,0.52849369,0.14177545,current
2014-03-01,1,0.30950206,0.31005617,0.00055411,current
2014-03-01,3,0.31363645,0.32316638,0.00952993,current
2014-03-01,6,0.32510137,0.34582571,0.02072434,current
2014-03-01,12,0.35907919,0.39811619,0.03903700,current
2014-03-01,24,0.38629025,0.52043105,0.13414080,current
2014-04-01,1,0.31264834,0.31533631,0.00268796,current
2014-04-01,3,0.31573019,0.32861114,0.01288095,current
2014-04-01,6,0.33149686,0.35139055,0.01989370,current
2014-04-01,12,0.36686614,0.40449128,0.03762514,current
2014-04-01,24,0.38835031,0.52624487,0.13789456,current
2014-05-01,1,0.31363645,0.31674959,0.00311314,current
2014-05-01,3,0.32008523,0.32723894,0.00715371,current
2014-05-01,6,0.33557283,0.34707020,0.01149737,current
2014-05-01,12,0.37519541,0.39789157,0.02269616,current
2014-05-01,24,0.39148216,0.51592321,0.12444105,current
2014-06-01,1,0.31573019,0.31587319,0.00014300,current
2014-06-01,3,0.32510137,0.32334985,-0.00175152,current
2014-06-01,6,0.33791680,0.33997965,0.00206285,current
2014-06-01,12,0.37954028,0.38849730,0.00895702,current
2014-06-01,24,0.39565834,0.50311252,0.10745418,current
2014-07-01,1,0.32008523,0.31889775,-0.00118748,current
2014-07-01,3,0.33149686,0.32781555,-0.00368130,current
2014-07-01,6,0.34354346,0.34584877,0.00230532,current
2014-07-01,12,0.38475687,0.39703210,0.01227523,current
2014-07-01,24,0.40067696,0.51204740,0.11137045,current
2014-08-01,1,0.32510137,0.32518560,0.00008424,current
2014-08-01,3,0.33557283,0.33717503,0.00160220,current
2014-08-01,6,0.34944268,0.35861444,0.00917176,current
2014-08-01,12,0.39139179,0.41424809,0.02285629,current
2014-08-01,24,0.40869943,0.53241790,0.12371847,current
2014-09-01,1,0.33149686,0.33075561,-0.00074125,current
2014-09-01,3,0.33791680,0.34359527,0.00567847,current
2014-09-01,6,0.35907919,0.36665538,0.00757619,current
2014-09-01,12,0.39498944,0.42336880,0.02837936,current
2014-09-01,24,0.41560303,0.54214803,0.12654500,current
2014-10-01,1,0.33557283,0.33832192,0.00274909,current
2014-10-01,3,0.34354346,0.35300200,0.00945854,current
2014-10-01,6,0.36686614,0.37873623,0.01187009,current
2014-10-01,12,0.39611157,0.43776649,0.04165492,current
2014-10-01,24,0.42260952,0.55842831,0.13581879,current
2014-11-01,1,0.33791680,0.34041593,0.00249913,current
2014-11-01,3,0.34944268,0.35217825,0.00273556,current
2014-11-01,6,0.37519541,0.37551196,0.00031655,current
2014-11-01,12,0.39326284,0.43051149,0.03724865,current
2014-11-01,24,0.43075407,0.54864533,0.11789126,current
2014-12-01,1,0.34354346,0.34126349,-0.00227996,current
2014-12-01,3,0.35907919,0.35140427,-0.00767492,current
2014-12-01,6,0.37954028,0.37270988,-0.00683040,current
2014-12-01,12,0.38902928,0.42378944,0.03476016,current
2014-12-01,24,0.43545882,0.53986742,0.10440859,current
2015-01-01,1,0.34944268,0.34993179,0.00048911,current
2015-01-01,3,0.36686614,0.36510029,-0.00176584,current
2015-01-01,6,0.38475687,0.39158727,0.00683040,current
2015-01-01,12,0.38850514,0.44679103,0.05828589,current
2015-01-01,24,0.44505312,0.56780212,0.12274899,current
2015-02-01,1,0.35907919,0.35642131,-0.00265788,current
2015-02-01,3,0.37519541,0.37193152,-0.00326388,current
2015-02-01,6,0.39139179,0.39853393,0.00714214,current
2015-02-01,12,0.38671824,0.45275511,0.06603687,current
2015-02-01,24,0.45379404,0.57423944,0.12044540,current
2015-03-01,1,0.36686614,0.36875922,0.00189309,current
2015-03-01,3,0.37954028,0.38910651,0.00956623,current
2015-03-01,6,0.39498944,0.41990189,0.02491245,current
2015-03-01,12,0.38629025,0.47825346,0.09196321,current
2015-03-01,24,0.46120904,0.60464522,0.14343618,current
2015-04-01,1,0.37519541,0.37527724,0.00008183,current
2015-04-01,3,0.38475687,0.39340279,0.00864592,current
2015-04-01,6,0.39611157,0.42142476,0.02531319,current
2015-04-01,12,0.38835031,0.47642581,0.08807551,current
2015-04-01,24,0.46653725,0.60133483,0.13479757,current
2015-05-01,1,0.37954028,0.38406278,0.00452250,current
2015-05-01,3,0.39139179,0.40237588,0.01098409,current
2015-05-01,6,0.39326284,0.43021447,0.03695163,current
2015-05-01,12,0.39148216,0.48551386,0.09403170,current
2015-05-01,24,0.47096049,0.61079714,0.13983665,current
2015-06-01,1,0.38475687,0.38479122,0.00003435,current
2015-06-01,3,0.39498944,0.39715411,0.00216467,current
2015-06-01,6,0.38902928,0.41841176,0.02938248,current
2015-06-01,12,0.39565834,0.46812706,0.07246872,current
2015-06-01,24,0.47367931,0.58729513,0.11361582,current
2015-07-01,1,0.39139179,0.39064778,-0.00074402,current
2015-07-01,3,0.39611157,0.40397671,0.00786514,current
2015-07-01,6,0.38850514,0.42564255,0.03713741,current
2015-07-01,12,0.40067696,0.47714728,0.07647032,current
2015-07-01,24,0.47979225,0.59666987,0.11687762,current
2015-08-01,1,0.39498944,0.39841432,0.00342488,current
2015-08-01,3,0.39326284,0.41341248,0.02014964,current
2015-08-01,6,0.38671824,0.43672709,0.05000885,current
2015-08-01,12,0.40869943,0.49156054,0.08286111,current
2015-08-01,24,0.48513009,0.61259768,0.12746759,current
2015-09-01,1,0.39611157,0.39953209,0.00342052,current
2015-09-01,3,0.38902928,0.40993611,0.02090683,current
2015-09-01,6,0.38629025,0.42909393,0.04280368,current
2015-09-01,12,0.41560303,0.48011852,0.06451549,current
2015-09-01,24,0.48960593,0.59602116,0.10641523,current
2015-10-01,1,0.39326284,0.39818472,0.00492188,current
2015-10-01,3,0.38850514,0.40477149,0.01626634,current
2015-10-01,6,0.38835031,0.42023936,0.03188906,current
2015-10-01,12,0.42260952,0.46775321,0.04514369,current
2015-10-01,24,0.49307124,0.57862748,0.08555623,current
2015-11-01,1,0.38902928,0.39181322,0.00278394,current
2015-11-01,3,0.38671824,0.39293574,0.00621750,current
2015-11-01,6,0.39148216,0.40301803,0.01153587,current
2015-11-01,12,0.43075407,0.44419464,0.01344057,current
2015-11-01,24,0.49300666,0.54817239,0.05516573,current
2015-12-01,1,0.38850514,0.38656003,-0.00194511,current
2015-12-01,3,0.38629025,0.38598809,-0.00030217,current
2015-12-01,6,0.39565834,0.39471305,-0.00094529,current
2015-12-01,12,0.43545882,0.43277767,-0.00268115,current
2015-12-01,24,0.49440740,0.53260953,0.03820213,current
2016-01-01,1,0.38671824,0.38918684,0.00246861,current
2016-01-01,3,0.38835031,0.39408750,0.00573719,current
2016-01-01,6,0.40067696,0.40930825,0.00863129,current
2016-01-01,12,0.44505312,0.45373763,0.00868450,current
2016-01-01,24,0.49905789,0.55839905,0.05934116,current
2016-02-01,1,0.38629025,0.38653835,0.00024810,current
2016-02-01,3,0.39148216,0.39000500,-0.00147716,current
2016-02-01,6,0.40869943,0.40389433,-0.00480510,current
2016-02-01,12,0.45379404,0.44518867,-0.00860537,current
2016-02-01,24,0.50284941,0.54660858,0.04375916,current
2016-03-01,1,0.38835031,0.38710955,-0.00124075,current
2016-03-01,3,0.39565834,0.39303061,-0.00262772,current
2016-03-01,6,0.41560303,0.40882353,-0.00677950,current
2016-03-01,12,0.46120904,0.45142163,-0.00978741,current
2016-03-01,24,0.50519743,0.55385187,0.04865443,current
2016-04-01,1,0.39148216,0.39168844,0.00020628,current
2016-04-01,3,0.40067696,0.40156854,0.00089158,current
2016-04-01,6,0.42260952,0.42129264,-0.00131688,current
2016-04-01,12,0.46653725,0.46752430,0.00098705,current
2016-04-01,24,0.50444613,0.57304527,0.06859914,current
2016-05-01,1,0.39565834,0.39592140,0.00026306,current
2016-05-01,3,0.40869943,0.40704301,-0.00165642,current
2016-05-01,6,0.43075407,0.42765117,-0.00310290,current
2016-05-01,12,0.47096049,0.47462863,0.00366814,current
2016-05-01,24,0.50387910,0.58074473,0.07686564,current
2016-06-01,1,0.40067696,0.40055905,-0.00011791,current
2016-06-01,3,0.41560303,0.41266531,-0.00293772,current
2016-06-01,6,0.43545882,0.43369811,-0.00176072,current
2016-06-01,12,0.47367931,0.48107373,0.00739442,current
2016-06-01,24,0.50229038,0.58723265,0.08494227,current
2016-07-01,1,0.40869943,0.40657075,-0.00212868,current
2016-07-01,3,0.42260952,0.41984759,-0.00276194,current
2016-07-01,6,0.44505312,0.44185787,-0.00319525,current
2016-07-01,12,0.47979225,0.49060258,0.01081033,current
2016-07-01,24,0.50206064,0.59779960,0.09573896,current
2016-08-01,1,0.41560303,0.41694882,0.00134579,current
2016-08-01,3,0.43075407,0.43389434,0.00314027,current
2016-08-01,6,0.45379404,0.45972451,0.00593047,current
2016-08-01,12,0.48513009,0.51322101,0.02809092,current
2016-08-01,24,0.50178596,0.62442313,0.12263716,current
2016-09-01,1,0.42260952,0.42289350,0.00028397,current
2016-09-01,3,0.43545882,0.43808133,0.00262251,current
2016-09-01,6,0.46120904,0.46219882,0.00098978,current
2016-09-01,12,0.48960593,0.51414185,0.02453592,current
2016-09-01,24,0.49819390,0.62366733,0.12547343,current
2016-10-01,1,0.43075407,0.42987001,-0.00088407,current
2016-10-01,3,0.44505312,0.44506314,0.00001002,current
2016-10-01,6,0.46653725,0.46911393,0.00257667,current
2016-10-01,12,0.49307124,0.52122646,0.02815522,current
2016-10-01,24,0.49241002,0.63009992,0.13768990,current
2016-11-01,1,0.43545882,0.43898165,0.00352282,current
2016-11-01,3,0.45379404,0.45578634,0.00199231,current
2016-11-01,6,0.47096049,0.48160828,0.01064779,current
2016-11-01,12,0.49300666,0.53590473,0.04289807,current
2016-11-01,24,0.48558148,0.64598784,0.16040636,current
2016-12-01,1,0.44505312,0.44079878,-0.00425434,current
2016-12-01,3,0.46120904,0.45280090,-0.00840814,current
2016-12-01,6,0.47367931,0.47348763,-0.00019167,current
2016-12-01,12,0.49440740,0.52180719,0.02739979,current
2016-12-01,24,0.47834891,0.62520201,0.14685310,current
2017-01-01,1,0.45379404,0.45449807,0.00070403,current
2017-01-01,3,0.46653725,0.47321946,0.00668220,current
2017-01-01,6,0.47979225,0.50120663,0.02141438,current
2017-01-01,12,0.49905789,0.55751279,0.05845490,current
2017-01-01,24,0.47793253,0.66740555,0.18947302,current
2017-02-01,1,0.46120904,0.46259495,0.00138591,current
2017-02-01,3,0.47096049,0.48025421,0.00929371,current
2017-02-01,6,0.48513009,0.50737756,0.02224746,current
2017-02-01,12,0.50284941,0.56249657,0.05964716,current
2017-02-01,24,0.47727242,0.67117430,0.19390188,current
2017-03-01,1,0.46653725,0.46882368,0.00228643,current
2017-03-01,3,0.47367931,0.48463606,0.01095675,current
2017-03-01,6,0.48960593,0.51002187,0.02041594,current
2017-03-01,12,0.50519743,0.56265502,0.05745759,current
2017-03-01,24,0.47500261,0.66859745,0.19359484,current
2017-04-01,1,0.47096049,0.47239159,0.00143110,current
2017-04-01,3,0.47979225,0.48558778,0.00579552,current
2017-04-01,6,0.49307124,0.50810293,0.01503169,current
2017-04-01,12,0.50444613,0.55755443,0.05310830,current
2017-04-01,24,0.47355164,0.66083230,0.18728066,current
2017-05-01,1,0.47367931,0.47604482,0.00236551,current
2017-05-01,3,0.48513009,0.48810651,0.00297641,current
2017-05-01,6,0.49300666,0.50914552,0.01613885,current
2017-05-01,12,0.50387910,0.55657444,0.05269534,current
2017-05-01,24,0.47467156,0.65709677,0.18242521,current
2017-06-01,1,0.47979225,0.47743340,-0.00235885,current
2017-06-01,3,0.48960593,0.48717672,-0.00242921,current
2017-06-01,6,0.49440740,0.50553799,0.01113058,current
2017-06-01,12,0.50229038,0.55002109,0.04773071,current
2017-06-01,24,0.47866051,0.64787245,0.16921194,current
2017-07-01,1,0.48513009,0.48633058,0.00120048,current
2017-07-01,3,0.49307124,0.50049098,0.00741974,current
2017-07-01,6,0.49905789,0.52332395,0.02426606,current
2017-07-01,12,0.50206064,0.57257585,0.07051522,current
2017-07-01,24,0.48673744,0.67414516,0.18740772,current
2017-08-01,1,0.48960593,0.49106742,0.00146149,current
2017-08-01,3,0.49300666,0.50405829,0.01105163,current
2017-08-01,6,0.50284941,0.52567282,0.02282340,current
2017-08-01,12,0.50178596,0.57358076,0.07179480,current
2017-08-01,24,0.49533262,0.67491785,0.17958523,current
2017-09-01,1,0.49307124,0.49467253,0.00160129,current
2017-09-01,3,0.49440740,0.50634649,0.01193908,current
2017-09-01,6,0.50519743,0.52668232,0.02148489,current
2017-09-01,12,0.49819390,0.57324056,0.07504666,current
2017-09-01,24,0.50400898,0.67515773,0.17114875,current
2017-10-01,1,0.49300666,0.49730407,0.00429741,current
2017-10-01,3,0.49905789,0.50753487,0.00847698,current
2017-10-01,6,0.50444613,0.52628475,0.02183861,current
2017-10-01,12,0.49241002,0.57041986,0.07800984,current
2017-10-01,24,0.51259685,0.67120443,0.15860759,current
2017-11-01,1,0.49440740,0.49413298,-0.00027443,current
2017-11-01,3,0.50284941,0.49938474,-0.00346467,current
2017-11-01,6,0.50387910,0.51279709,0.00891799,current
2017-11-01,12,0.48558148,0.55035474,0.06477326,current
2017-11-01,24,0.51804218,0.64704650,0.12900433,current
2017-12-01,1,0.49905789,0.49682239,-0.00223550,current
2017-12-01,3,0.50519743,0.50414114,-0.00105629,current
2017-12-01,6,0.50229038,0.51967967,0.01738928,current
2017-12-01,12,0.47834891,0.55903713,0.08068822,current
2017-12-01,24,0.52148387,0.65856642,0.13708255,current
2018-01-01,1,0.50284941,0.50428069,0.00143128,current
2018-01-01,3,0.50444613,0.51611328,0.01166715,current
2018-01-01,6,0.50206064,0.53639111,0.03433047,current
2018-01-01,12,0.47793253,0.58063029,0.10269776,current
2018-01-01,24,0.52646387,0.68554601,0.15908214,current
2018-02-01,1,0.50519743,0.50732596,0.00212852,current
2018-02-01,3,0.50387910,0.51794042,0.01406132,current
2018-02-01,6,0.50178596,0.53689427,0.03510830,current
2018-02-01,12,0.47727242,0.57915722,0.10188480,current
2018-02-01,24,0.53229493,0.68354780,0.15125287,current
2018-03-01,1,0.50444613,0.50842066,0.00397453,current
2018-03-01,3,0.50229038,0.51699263,0.01470225,current
2018-03-01,6,0.49819390,0.53366438,0.03547048,current
2018-03-01,12,0.47500261,0.57307936,0.09807675,current
2018-03-01,24,0.53055597,0.67612775,0.14557178,current
2018-04-01,1,0.50387910,0.50497284,0.00109374,current
2018-04-01,3,0.50206064,0.50914151,0.00708087,current
2018-04-01,6,0.49241002,0.52076443,0.02835441,current
2018-04-01,12,0.47355164,0.55458394,0.08103230,current
2018-04-01,24,0.52792367,0.65402290,0.12609923,current
2018-05-01,1,0.50229038,0.50454686,0.00225648,current
2018-05-01,3,0.50178596,0.50889596,0.00711000,current
2018-05-01,6,0.48558148,0.52026232,0.03468084,current
2018-05-01,12,0.47467156,0.55405175,0.07938019,current
2018-05-01,24,0.53341237,0.65443212,0.12101975,current
2018-06-01,1,0.50206064,0.50204681,-0.00001382,current
2018-06-01,3,0.49819390,0.50478071,0.00658680,current
2018-06-01,6,0.47834891,0.51403041,0.03568150,current
2018-06-01,12,0.47866051,0.54585786,0.06719735,current
2018-06-01,24,0.54200772,0.64522693,0.10321921,current
2018-07-01,1,0.50178596,0.50298408,0.00119811,current
2018-07-01,3,0.49241002,0.50729652,0.01488651,current
2018-07-01,6,0.47793253,0.51841235,0.04047981,current
2018-07-01,12,0.48673744,0.55315172,0.06641429,current
2018-07-01,24,0.55282812,0.65420472,0.10137660,current
2018-08-01,1,0.49819390,0.50258359,0.00438968,current
2018-08-01,3,0.48558148,0.50648880,0.02090732,current
2018-08-01,6,0.47727242,0.51736533,0.04009291,current
2018-08-01,12,0.49533262,0.55305279,0.05772017,current
2018-08-01,24,0.56502267,0.65332803,0.08830536,current
2018-09-01,1,0.49241002,0.49591256,0.00350254,current
2018-09-01,3,0.47834891,0.49491784,0.01656893,current
2018-09-01,6,0.47500261,0.50061117,0.02560856,current
2018-09-01,12,0.50400898,0.53134293,0.02733395,current
2018-09-01,24,0.57832854,0.62503618,0.04670763,current
2018-10-01,1,0.48558148,0.48827857,0.00269708,current
2018-10-01,3,0.47793253,0.48422996,0.00629742,current
2018-10-01,6,0.47355164,0.48641968,0.01286804,current
2018-10-01,12,0.51259685,0.51395575,0.00135891,current
2018-10-01,24,0.59430082,0.60235562,0.00805480,current
2018-11-01,1,0.47834891,0.48047582,0.00212690,current
2018-11-01,3,0.47727242,0.47484269,-0.00242973,current
2018-11-01,6,0.47467156,0.47513666,0.00046510,current
2018-11-01,12,0.51804218,0.50114030,-0.01690188,current
2018-11-01,24,0.60914826,0.58550627,-0.02364199,current
2018-12-01,1,0.47793253,0.47297076,-0.00496178,current
2018-12-01,3,0.47500261,0.46669827,-0.00830434,current
2018-12-01,6,0.47866051,0.46624535,-0.01241516,current
2018-12-01,12,0.52148387,0.49158403,-0.02989984,current
2018-12-01,24,0.62569855,0.57328350,-0.05241505,current
2019-01-01,1,0.47727242,0.47849707,0.00122465,current
2019-01-01,3,0.47355164,0.48228085,0.00872921,current
2019-01-01,6,0.48673744,0.49379816,0.00706072,current
2019-01-01,12,0.52646387,0.53267236,0.00620849,current
2019-01-01,24,0.64653105,0.62565576,-0.02087528,current
2019-02-01,1,0.47500261,0.47771110,0.00270849,current
2019-02-01,3,0.47467156,0.48118991,0.00651836,current
2019-02-01,6,0.49533262,0.49354155,-0.00179107,current
2019-02-01,12,0.53229493,0.53123776,-0.00105717,current
2019-02-01,24,0.66917603,0.62323156,-0.04594446,current
2019-03-01,1,0.47355164,0.47396899,0.00041735,current
2019-03-01,3,0.47866051,0.47518677,-0.00347374,current
2019-03-01,6,0.50400898,0.48602027,-0.01798871,current
2019-03-01,12,0.53055597,0.51980211,-0.01075386,current
2019-03-01,24,0.69323460,0.60809708,-0.08513753,current
2019-04-01,1,0.47467156,0.47325145,-0.00142011,current
2019-04-01,3,0.48673744,0.47640020,-0.01033723,current
2019-04-01,6,0.51259685,0.48887214,-0.02372471,current
2019-04-01,12,0.52792367,0.52384383,-0.00407985,current
2019-04-01,24,0.71455219,0.61176778,-0.10278441,current
2019-05-01,1,0.47866051,0.47674857,-0.00191195,current
2019-05-01,3,0.49533262,0.48463105,-0.01070157,current
2019-05-01,6,0.51804218,0.50110026,-0.01694192,current
2019-05-01,12,0.53341237,0.54075640,0.00734404,current
2019-05-01,24,0.73045713,0.63185855,-0.09859858,current
2019-06-01,1,0.48673744,0.48376192,-0.00297552,current
2019-06-01,3,0.50400898,0.49610045,-0.00790852,current
2019-06-01,6,0.52148387,0.51648047,-0.00500341,current
2019-06-01,12,0.54200772,0.56153934,0.01953162,current
2019-06-01,24,0.74488340,0.65604273,-0.08884067,current
2019-07-01,1,0.49533262,0.49528080,-0.00005182,current
2019-07-01,3,0.51259685,0.51257610,-0.00002075,current
2019-07-01,6,0.52646387,0.53792138,0.01145751,current
2019-07-01,12,0.55282812,0.58954296,0.03671483,current
2019-07-01,24,0.76111673,0.68949943,-0.07161730,current
2019-08-01,1,0.50400898,0.50405855,0.00004957,current
2019-08-01,3,0.51804218,0.52136182,0.00331964,current
2019-08-01,6,0.53229493,0.54625157,0.01395664,current
2019-08-01,12,0.56502267,0.59847045,0.03344778,current
2019-08-01,24,0.78077352,0.69825260,-0.08252091,current
2019-09-01,1,0.51259685,0.51262006,0.00002321,current
2019-09-01,3,0.52148387,0.52965255,0.00816868,current
2019-09-01,6,0.53055597,0.55436832,0.02381236,current
2019-09-01,12,0.57832854,0.60648725,0.02815870,current
2019-09-01,24,0.80541979,0.70616152,-0.09925827,current
2019-10-01,1,0.51804218,0.52118826,0.00314608,current
2019-10-01,3,0.52646387,0.53788254,0.01141867,current
2019-10-01,6,0.52792367,0.56309052,0.03516684,current
2019-10-01,12,0.59430082,0.61465217,0.02035135,current
2019-10-01,24,0.82574991,0.71431183,-0.11143808,current
2019-11-01,1,0.52148387,0.52371310,0.00222923,current
2019-11-01,3,0.53229493,0.53559996,0.00330503,current
2019-11-01,6,0.53341237,0.55666901,0.02325664,current
2019-11-01,12,0.60914826,0.60183239,-0.00731587,current
2019-11-01,24,0.84096612,0.69595811,-0.14500800,current
2019-12-01,1,0.52646387,0.52545026,-0.00101361,current
2019-12-01,3,0.53055597,0.53470136,0.00414539,current
2019-12-01,6,0.54200772,0.55335880,0.01135108,current
2019-12-01,12,0.62569855,0.59393641,-0.03176214,current
2019-12-01,24,0.84936209,0.68374084,-0.16562125,current
2020-01-01,1,0.53229493,0.53163427,-0.00066065,current
2020-01-01,3,0.52792367,0.54400639,0.01608272,current
2020-01-01,6,0.55282812,0.56511669,0.01228857,current
2020-01-01,12,0.64653105,0.60884810,-0.03768294,current
2020-01-01,24,0.86097655,0.70233449,-0.15864206,current
2020-02-01,1,0.53055597,0.53865896,0.00810299,current
2020-02-01,3,0.53341237,0.55299958,0.01958722,current
2020-02-01,6,0.56502267,0.57545917,0.01043649,current
2020-02-01,12,0.66917603,0.62066882,-0.04850720,current
2020-02-01,24,0.87200377,0.71535049,-0.15665328,current
2020-03-01,1,0.52792367,0.53058714,0.00266347,current
2020-03-01,3,0.54200772,0.53394362,-0.00806410,current
2020-03-01,6,0.57832854,0.54354669,-0.03478185,current
2020-03-01,12,0.69323460,0.57402973,-0.11920487,current
2020-03-01,24,0.87649648,0.65440580,-0.22209068,current
2020-04-01,1,0.53341237,0.52668030,-0.00673207,current
2020-04-01,3,0.55282812,0.52765867,-0.02516946,current
2020-04-01,6,0.59430082,0.53443735,-0.05986347,current
2020-04-01,12,0.71455219,0.56141953,-0.15313266,current
2020-04-01,24,0.87709735,0.63774448,-0.23935287,current
2020-05-01,1,0.54200772,0.53948737,-0.00252035,current
2020-05-01,3,0.56502267,0.55168606,-0.01333661,current
2020-05-01,6,0.60914826,0.57089840,-0.03824987,current
2020-05-01,12,0.73045713,0.61291631,-0.11754082,current
2020-05-01,24,0.87185034,0.70219470,-0.16965565,current
2020-06-01,1,0.55282812,0.55015017,-0.00267795,current
2020-06-01,3,0.57832854,0.56613393,-0.01219461,current
2020-06-01,6,0.62569855,0.58970735,-0.03599120,current
2020-06-01,12,0.74488340,0.63675787,-0.10812553,current
2020-06-01,24,0.86550995,0.72954908,-0.13596087,current
2020-07-01,1,0.56502267,0.56328778,-0.00173489,current
2020-07-01,3,0.59430082,0.58277119,-0.01152963,current
2020-07-01,6,0.64653105,0.61038800,-0.03614305,current
2020-07-01,12,0.76111673,0.66219101,-0.09892572,current
