t_end,nobs,aic,aicc,market,mining,lifestyle
2009-01-01,168,-1273.2206261134397,-1272.0813856071106,0.9845796333849374,0.007425487145813632,0.050418208488406495
2009-04-01,171,-1298.8540472528157,-1297.7360348304555,0.9930977513767973,-0.012746777352305262,0.03564358818274442
2009-07-01,174,-1317.6619787810068,-1316.5644178053972,0.999823478911559,-0.00273492193502123,0.05418695943607149
2009-10-01,177,-1337.4134494634263,-1336.335605152049,0.9791416379159178,0.017219448597594177,0.009267096453968763
2010-01-01,180,-1362.9616390960518,-1361.9028155666401,0.9835496547475104,-0.00815059530047327,0.05649491040310806
2010-04-01,183,-1385.9938367066165,-1384.9533742788708,0.9696525400781318,0.022699041364422717,0.0025036966380411296
2010-07-01,186,-1407.9271519309877,-1406.9044246582605,1.0035929107516242,-0.011880807926127272,0.06558803627040645
2010-10-01,189,-1425.0527963983563,-1424.0472098061775,1.0052494201086741,0.00033981267378507753,0.011237598745065145
2011-01-01,192,-1452.5792801095567,-1451.5902691205458,0.997056025503964,0.00039646152791983385,0.020797141879584664
2011-04-01,195,-1476.2600446519943,-1475.2870716790214,0.9911741587257648,-0.0008661770522967214,0.01919966753493849
2011-07-01,198,-1490.8433112610203,-1489.8858644525096,1.0196434906526586,0.014111921379985551,0.03488770062111577
2011-10-01,201,-1526.9249449555264,-1525.982536578563,0.9995506982685958,0.0011248832898685043,0.06652347905510729
2012-01-01,204,-1552.5192316999296,-1551.5913966483831,0.9959398387890842,0.0016884551330687806,0.04247955066920962
2012-04-01,207,-1576.3130470350693,-1575.399341451313,1.0025249763570305,0.0037856344594130935,0.07188822103166866
2012-07-01,210,-1595.6041215040802,-1594.7041215040801,0.9929504788831987,0.0015469855175646884,0.09481910767157377
2012-10-01,213,-1612.8373546966588,-1611.9506551892696,0.9813251381700925,-0.00852248487591954,0.09874969845574519
2013-01-01,216,-1637.725182556886,-1636.851396149119,0.9780612820761772,0.0003888999094706065,0.10081987402077158
2013-04-01,219,-1662.3232113536708,-1661.4619673345321,0.9856097371396264,-0.005416654716179684,0.10932364768103658
2013-07-01,222,-1686.0252722551504,-1685.1762156513769,0.9792402882975807,0.0005095671220275456,0.10270575990877606
2013-10-01,225,-1712.0803057723347,-1711.243096470009,0.9655178350435031,0.007401817601713171,0.10406899983637263
2014-01-01,228,-1734.7901525236414,-1733.9644644502469,0.9781045552621959,0.0005457645045736509,0.10232731821973236
2014-04-01,231,-1770.131783773361,-1769.3173041353518,0.9904707872119655,0.016564058656405926,0.03495421600849467
2014-07-01,234,-1793.9622236494076,-1793.1586522208363,0.9921112891110416,0.0169346321683497,0.041728327911561634
2014-10-01,237,-1819.7282783911846,-1818.9353268493344,0.9902150556794679,0.018082272445469342,0.03894661076518024
2015-01-01,240,-1844.8808574500936,-1844.0982487544413,0.9904972652377241,0.01909096385185005,0.036837891262389864
2015-04-01,243,-1869.7481681503864,-1868.975635961545,0.9846837565440023,0.03268916893475888,0.10364963789530572
2015-07-01,246,-1879.4835807174434,-1878.7208688530366,0.9518198813680355,0.007662797827192127,0.060735344275658625
2015-10-01,249,-1897.0589532821136,-1896.3058152068,0.9585679236532305,0.04469878366639357,0.02825073639237587
2016-01-01,252,-1940.6950266790088,-1939.9512250261162,0.9810232320245285,0.03839328519747198,0.09879921231950815
2016-04-01,255,-1962.4663581971781,-1961.731664319627,0.9804858317515095,0.04887747494018109,0.10094979851075411
2016-07-01,258,-1983.6737111953964,-1982.9479047437835,0.9626961972947091,0.04672649971624332,0.11627276971255512
2016-10-01,261,-2004.755893233772,-2004.0387617596684,0.9164683670219395,0.0286404957299051,0.10238881389436863
2017-01-01,264,-2004.6636372605044,-2003.9549758431815,0.9182175147439502,-0.006798939628449936,-0.03870269484549048
