t_end,nobs,aic,aicc,market,mining,lifestyle
2009-01-01,168,-1403.3204640249955,-1402.1812235186665,0.8711243443640178,0.21548537124151318,0.46136672022064634
2009-04-01,171,-1426.147040305928,-1425.0290278835678,0.8672531569268506,0.2168994737365552,0.4694533840204287
2009-07-01,174,-1449.3320515363876,-1448.2344905607779,0.879243476687796,0.21705250820348979,0.4469046205232021
2009-10-01,177,-1476.3570976341416,-1475.2792533227644,0.8741173345686536,0.2145519364901106,0.4540456024351087
2010-01-01,180,-1502.9404841009793,-1501.8816605715676,0.869606028280626,0.21059910667289866,0.4564224663934256
2010-04-01,183,-1529.9757243119698,-1528.935261884224,0.8718358878895172,0.21213417950058547,0.45104915049740485
2010-07-01,186,-1552.0557278454644,-1551.0330005727371,0.8686840999890822,0.21963156908737164,0.46547267239278367
2010-10-01,189,-1577.1591007112067,-1576.153514119028,0.8665237568862422,0.21902969755400928,0.4659819148860171
2011-01-01,192,-1602.8584961133683,-1601.8694851243574,0.8652405866489912,0.21803696914363166,0.46611139256579653
2011-04-01,195,-1630.7749646165157,-1629.8019916435428,0.8667031315153505,0.2175282507210945,0.46481354535400815
2011-07-01,198,-1657.8379492396234,-1656.8805024311127,0.8674909456009839,0.21634848217656444,0.4535010421732039
2011-10-01,201,-1685.7385663213854,-1684.796157944422,0.8660796298502919,0.21677890281136764,0.4633159193172277
2012-01-01,204,-1711.070330175166,-1710.1424951236195,0.8689081398304007,0.21317270466497742,0.4578077408148594
2012-04-01,207,-1738.9545765976009,-1738.0408710138445,0.8704697514590302,0.21710307703407733,0.45796092390366855
2012-07-01,210,-1764.363075177152,-1763.463075177152,0.8673296645202458,0.21399408043797966,0.4624068557230881
2012-10-01,213,-1784.2299566322047,-1783.3432571248154,0.8641344551454261,0.2090404721903468,0.46408161392263875
2013-01-01,216,-1805.6782604389664,-1804.8044740311993,0.8668319679791164,0.19975173368873864,0.4620480382923319
2013-04-01,219,-1829.6139983642206,-1828.752754345082,0.8787436190625422,0.2024068415241902,0.502287908226705
2013-07-01,222,-1861.1737340196837,-1860.3246774159102,0.8678966105619608,0.1983332641698836,0.46050108524291894
2013-10-01,225,-1885.0416934897275,-1884.204484187402,0.8772405630612136,0.1956920127657037,0.4907049040789922
2014-01-01,228,-1912.949175232875,-1912.1234871594804,0.8675033329902794,0.19292375099540673,0.4578338679565878
2014-04-01,231,-1939.1206364975824,-1938.3061568595733,0.8782929636687945,0.19066615028348732,0.44761089691508327
2014-07-01,234,-1957.4233857204254,-1956.619814291854,0.906783461882918,0.19144067893519717,0.407592926049773
2014-10-01,237,-1988.6872365868126,-1987.8942850449623,0.8717533185767036,0.20030924146925014,0.4516122884095257
2015-01-01,240,-2016.3769072892337,-2015.5942985935815,0.8758888017943101,0.19967073724149167,0.45538511025114925
2015-04-01,243,-2041.3517984787504,-2040.5792662899091,0.8850221834552356,0.1975972044364761,0.4376820370856033
2015-07-01,246,-2048.704091962358,-2047.941380097951,0.8501677395054179,0.2578973280170232,0.48473008557984093
2015-10-01,249,-2095.9662598346517,-2095.213121759338,0.8567091140809882,0.2121092493179147,0.4667140497455802
2016-01-01,252,-2112.980436695393,-2112.2366350425004,0.8542301260997588,0.22921290757069765,0.48021936559187145
2016-04-01,255,-2134.351929736365,-2133.617235858814,0.8528451994350864,0.24021011494573113,0.4860007299602843
2016-07-01,258,-2165.8116260013317,-2165.085819549719,0.8550288082294283,0.2271622279852551,0.4739226085703308
2016-10-01,261,-2189.9566448118794,-2189.239513337776,0.85136912253876,0.23956737971947833,0.48259198796306724
2017-01-01,264,-2212.4569793304945,-2211.748317913172,0.8492678999824494,0.24475482026451867,0.483051911491095
2017-04-01,267,-2242.994749818045,-2242.2943607129864,0.8499134372263393,0.2402140071952476,0.4806265903657549
2017-07-01,270,-2274.1636665663505,-2273.471358874043,0.8514629436404271,0.22929683108248464,0.4784279603541962
2017-10-01,273,-2300.0122935091294,-2299.3278828627417,0.8503645621347223,0.23270161500278028,0.4762723645267049
2018-01-01,276,-2324.8406268850017,-2324.1639351556782,0.8481835291738302,0.22142447598682385,0.46446402709982043
2018-04-01,279,-2352.621300890505,-2351.9521559090927,0.8471697096584899,0.22204721134353808,0.4647120829221051
2018-07-01,282,-2377.816985608524,-2377.1552209026418,0.8442263645067811,0.2373021843767622,0.4698030153386968
2018-10-01,285,-2405.6300693315266,-2404.9755238769812,0.846936193670454,0.22722426749024885,0.46676861127795033
2019-01-01,288,-2434.7163652745385,-2434.06888326015,0.8450875446400112,0.21863636065925796,0.4613111572518721
2019-04-01,291,-2455.580296414589,-2454.9397270195714,0.8442142817540811,0.2308003239385138,0.46593259824694616
2019-07-01,294,-2474.6391692566713,-2474.0053664397697,0.8445568761941702,0.2519374040149921,0.4718894348432214
2019-10-01,297,-2507.425389624799,-2506.7982119244507,0.8458476276373158,0.2287358462368838,0.45878620695258443
