month_date,Region,Region_key,g_total,g_market,g_mining,g_lifestyle,g_epsilon
2000-02-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.167180,0.253534,0.018935,-0.025312,-0.079976
2000-03-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.188808,0.266742,0.018397,-0.025309,-0.071023
2000-04-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.190368,0.272004,0.019355,-0.024979,-0.076012
2000-05-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.188219,0.270026,0.019536,-0.024437,-0.076905
2000-06-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.206843,0.271954,0.017995,-0.025132,-0.057974
2000-07-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.217668,0.277590,0.018764,-0.024579,-0.054106
2000-08-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.226944,0.280164,0.018409,-0.024129,-0.047501
2000-09-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.235718,0.281613,0.018457,-0.023317,-0.041035
2000-10-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.248507,0.289115,0.018300,-0.024248,-0.034660
2000-11-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.277784,0.297111,0.018788,-0.023480,-0.014635
2000-12-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.280605,0.305778,0.019374,-0.022280,-0.022267
2001-01-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.293792,0.313064,0.018961,-0.021423,-0.016811
2001-02-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.307767,0.321476,0.019195,-0.020917,-0.011987
2001-03-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.323713,0.327722,0.020687,-0.019945,-0.004751
2001-04-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.331645,0.338112,0.021250,-0.019721,-0.007996
2001-05-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.381991,0.351044,0.021039,-0.020087,0.029996
2001-06-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.403942,0.365129,0.021236,-0.021276,0.038853
2001-07-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.402649,0.381887,0.021151,-0.022185,0.021797
2001-08-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.412937,0.392559,0.020847,-0.022064,0.021595
2001-09-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.469176,0.407973,0.022078,-0.020636,0.059761
2001-10-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.458316,0.419156,0.021082,-0.019578,0.037655
2001-11-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.463575,0.427125,0.020841,-0.018545,0.034154
2001-12-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.485579,0.434364,0.020783,-0.017078,0.047510
2002-01-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.506163,0.446473,0.020362,-0.015834,0.055162
2002-02-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.519717,0.459467,0.021043,-0.015441,0.054647
2002-03-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.547187,0.473888,0.021261,-0.013989,0.066027
2002-04-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.557867,0.486892,0.021585,-0.012626,0.062015
2002-05-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.557823,0.496225,0.020651,-0.011882,0.052829
2002-06-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.587403,0.502961,0.021069,-0.010257,0.073630
2002-07-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.592005,0.514573,0.020175,-0.008040,0.065298
2002-08-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.638599,0.527715,0.020551,-0.006655,0.096989
2002-09-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.639161,0.541006,0.020044,-0.005419,0.083530
2002-10-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.642331,0.549987,0.019980,-0.002971,0.075335
2002-11-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.665957,0.557712,0.019453,-0.000611,0.089403
2002-12-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.687310,0.569937,0.019280,0.001399,0.096694
2003-01-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.708810,0.587435,0.017599,0.003103,0.100673
2003-02-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.715389,0.599333,0.017431,0.005698,0.092928
2003-03-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.752663,0.614634,0.016946,0.009595,0.111488
2003-04-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.772904,0.635789,0.015903,0.011884,0.109328
2003-05-01,AUSTRALIAN CAPITAL TERRITORY,ACT,0.771929,0.651481,0.015745,0.014202,0.090500
