Region,beta_r,fr_if_fM_2,lo_tot,hi_tot,lo_PS,hi_PS,lo_L,hi_L,lo_eps,hi_eps,x95_total
Melbourne,1.22,2.33,1.8581563166179729,2.9216594704374126,2.163202919420542,2.5096582254309463,1.9123797466871637,2.838819020858458,2.147234418011797,2.528321991516333,1.25
Brisbane,1.1,2.14,1.8848064343782764,2.429745525306757,2.0729490746197023,2.2092197324433362,1.9139404291801496,2.3927599470594316,2.032686185486874,2.252979349541397,1.14
Darwin,1.03,2.04,1.6384781404654454,2.5399179258002227,1.9040383736238744,2.1856702352481507,1.932008781526193,2.154027476372306,1.668855840802525,2.4936845341888585,1.25
ACT,1.02,2.03,1.7686330050112475,2.3299915744667405,1.9353447000660937,2.1292847728155437,1.9558441808835763,2.1069674365052604,1.7935807555227699,2.2975826359147637,1.15
Hobart,1.02,2.03,1.349544178949333,3.053549534931315,1.9149169678774232,2.1519993133528827,1.6709269617310267,2.466235864511324,1.4246653750975322,2.892538888100571,1.5
Sydney,1.01,2.01,1.5798228599733874,2.557312026785114,1.5999849053349264,2.5250863220826956,1.931039055281507,2.092189688732646,1.8818369403406163,2.146891642624856,1.27
Adelaide,0.96,1.95,1.7764035809620604,2.140560872963705,1.8989505743933204,2.002421785630112,1.9004028927811851,2.000891502767158,1.7900395575115333,2.124254731714497,1.1
Perth,0.96,1.95,1.406460390170417,2.7035955129452747,1.4183493323643162,2.680933330903344,1.8787665776960463,2.0239342370370728,1.8298380178076867,2.078052791009197,1.39
Rest Of Tas.,0.93,1.91,1.534429709961122,2.3774956756360197,1.7732693459627618,2.0572734809326643,1.6364389053554234,2.229291902105968,1.6669566901364423,2.1884791738058884,1.24
Rest Of QLD,0.87,1.83,1.5808217299215277,2.11845519112787,1.6989962843517563,1.9711049581710867,1.6226919807265574,2.063792783705344,1.7615766141408524,1.9010810958303448,1.16
Rest Of NSW,0.83,1.78,1.6025146462517863,1.977142616082014,1.78,1.78,1.610302630803193,1.9675804655548836,1.7247293670402843,1.837041834242738,1.11
Rest Of Vic.,0.82,1.77,1.600772343553103,1.9571177704420848,1.751317495548616,1.7888818035353384,1.7299261041059055,1.811002211345442,1.6059371011861785,1.9508236017998308,1.11
Rest Of WA,0.77,1.71,1.4960825642746434,1.9545044303204702,1.5542493326230684,1.8813583757922987,1.7051119422217997,1.7149020704117708,1.5574477606084542,1.8774947538899347,1.14
Rest Of SA,0.74,1.67,1.5121273137262923,1.844355283238283,1.6006005094101783,1.7424085420463287,1.5861293960994427,1.7583054742307729,1.5516269553393909,1.7974036803130797,1.1
