Region,beta_r,fr_if_fM_2,lo,hi,x95_total
Melbourne,1.22,2.33,1.864,2.9125,1.25
Brisbane,1.1,2.14,1.8771929824561406,2.4396,1.14
Darwin,1.03,2.04,1.6320000000000001,2.55,1.25
ACT,1.02,2.03,1.7652173913043478,2.3345,1.15
Hobart,1.02,2.03,1.3533333333333333,3.045,1.5
Sydney,1.01,2.01,1.5826771653543306,2.5526999999999997,1.27
Adelaide,0.96,1.95,1.7727272727272725,2.145,1.1
Perth,0.96,1.95,1.4028776978417268,2.7104999999999997,1.39
Rest Of Tas.,0.93,1.91,1.5403225806451613,2.3684,1.24
Rest Of QLD,0.87,1.83,1.5775862068965518,2.1228,1.16
Rest Of NSW,0.83,1.78,1.6036036036036034,1.9758000000000002,1.11
Rest Of Vic.,0.82,1.77,1.5945945945945945,1.9647000000000001,1.11
Rest Of WA,0.77,1.71,1.5,1.9493999999999998,1.14
Rest Of SA,0.74,1.67,1.518181818181818,1.837,1.1
